"","x"
"92","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"93","RT @brianmala1: #payinterns I did 4 months unpaid internship and that was the most traumatising moment of my life. Used to walk from town t…"
"94","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"95","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"96","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"97","@RookieKE I always wonder why those who struggled through internship never make an effort to change it when they ha… https://t.co/HVa1Mi34Up"
"98","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"99","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"100","RT @WafulaCharles: Cc @SheeMWG #PayInterns <U+0001F600><U+0001F600> https://t.co/UM9EthQc3w"
"101","RT @RookieKE: <U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRC…"
"102","Cc @SheeMWG #PayInterns <U+0001F600><U+0001F600> https://t.co/UM9EthQc3w"
"103","<U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF><U+0001F64C><U+0001F3FF> #PayInterns struggling as an unpaid intern should make you want to make the path easier for others. https://t.co/QAKRCgZ3jC"
"104","Today I finally met the guy who sparked the #payinterns debate... @SamGichuru  thanks for the insightful talk. And… https://t.co/eFn08lipn1"
"105","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"106","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"107","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"108","RT @suttontrust: Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research has fo…"
"109","Great to hear that @BorisJohnson supports the campaign to ban unpaid internships #payinterns

Sutton Trust research… https://t.co/uJQR8v2l0n"
"110","Kenyans are funny sha! Same Kenyans on #payinterns were the same ones on Sunday advising graduates like Kelvin &amp; ot… https://t.co/7YGe8NvkZv"
"111","#PayInterns is not just a debate it should be done
.@kellyogome @labaanshabaan @ItsMutai @KibetBenard_ @xtiandela"
"112","RT @KenKiberenge: I did nearly a year without pay. I cringe each time I see #payinterns grandstanding. https://t.co/6bm5RwmbgG"
"113","RT @wanjaah: An intern buys milk at Ksh 52.
Sam Gichuru buys milk at Ksh 52.

That's my contribution in the whole #PayInterns thread"
"114","RT @KenKiberenge: I did nearly a year without pay. I cringe each time I see #payinterns grandstanding. https://t.co/6bm5RwmbgG"
"115","I did nearly a year without pay. I cringe each time I see #payinterns grandstanding. https://t.co/6bm5RwmbgG"
"116","What the society can offer with one heart
#VoicesOfGraduates 
#FirstClassBetrayal
#payinterns
# https://t.co/Ge1QNjdrjS"
"117","If they are mean with interns after #payinterns I wonder what they will do with #VoicesOfGraduates"
"118","@shobanes Shoba, huyu jamaa anasema nini? Lol. Kuna watu hawajui struggle. Ati many companies pay volunteers? <U+0001F602>. Ju… https://t.co/cp86DQjcvE"
"119","Aren’t unpaid internships considered “slavery?”  And that was abolished. #payInterns. https://t.co/T4nHW88jUm"
"120","#PayInterns"
